# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000015805.1	Primary Assembly	chromosome		NC_009073.1	379	1551	+						4908934	PCAL_RS00010	1173		old_locus_tag=Pcal_0002
CDS	with_protein	GCF_000015805.1	Primary Assembly	chromosome		NC_009073.1	379	1551	+	WP_011848699.1	WP_011848699.1		ORC1-type DNA replication protein		4908934	PCAL_RS00010	1173	390	
gene	protein_coding	GCF_000015805.1	Primary Assembly	chromosome		NC_009073.1	1548	1835	+						4909807	PCAL_RS00015	288		old_locus_tag=Pcal_0003
CDS	with_protein	GCF_000015805.1	Primary Assembly	chromosome		NC_009073.1	1548	1835	+	WP_011848700.1	WP_011848700.1		winged helix-turn-helix domain-containing protein		4909807	PCAL_RS00015	288	95	
gene	protein_coding	GCF_000015805.1	Primary Assembly	chromosome		NC_009073.1	1830	3095	-						4910185	PCAL_RS00020	1266		old_locus_tag=Pcal_0004
CDS	with_protein	GCF_000015805.1	Primary Assembly	chromosome		NC_009073.1	1830	3095	-	WP_011848701.1	WP_011848701.1		replication factor C large subunit		4910185	PCAL_RS00020	1266	421	
gene	protein_coding	GCF_000015805.1	Primary Assembly	chromosome		NC_009073.1	3095	4075	-						4910102	PCAL_RS00025	981		old_locus_tag=Pcal_0005
CDS	with_protein	GCF_000015805.1	Primary Assembly	chromosome		NC_009073.1	3095	4075	-	WP_011848702.1	WP_011848702.1		replication factor C small subunit		4910102	PCAL_RS00025	981	326	
gene	protein_coding	GCF_000015805.1	Primary Assembly	chromosome		NC_009073.1	4106	4777	-						4909443	PCAL_RS00030	672		old_locus_tag=Pcal_0006
CDS	with_protein	GCF_000015805.1	Primary Assembly	chromosome		NC_009073.1	4106	4777	-	WP_011848703.1	WP_011848703.1		30S ribosomal protein S7		4909443	PCAL_RS00030	672	223	
gene	protein_coding	GCF_000015805.1	Primary Assembly	chromosome		NC_009073.1	4799	5014	-						4910215	PCAL_RS00035	216		old_locus_tag=Pcal_0007
CDS	with_protein	GCF_000015805.1	Primary Assembly	chromosome		NC_009073.1	4799	5014	-	WP_011848704.1	WP_011848704.1		hypothetical protein		4910215	PCAL_RS00035	216	71	
gene	protein_coding	GCF_000015805.1	Primary Assembly	chromosome		NC_009073.1	5083	5307	-						4909742	PCAL_RS00040	225		old_locus_tag=Pcal_0008
CDS	with_protein	GCF_000015805.1	Primary Assembly	chromosome		NC_009073.1	5083	5307	-	WP_011848705.1	WP_011848705.1		winged helix-turn-helix transcriptional regulator		4909742	PCAL_RS00040	225	74	
gene	protein_coding	GCF_000015805.1	Primary Assembly	chromosome		NC_009073.1	5329	5727	-						4910053	PCAL_RS00045	399		old_locus_tag=Pcal_0009
CDS	with_protein	GCF_000015805.1	Primary Assembly	chromosome		NC_009073.1	5329	5727	-	WP_011848706.1	WP_011848706.1		hypothetical protein		4910053	PCAL_RS00045	399	132	
gene	protein_coding	GCF_000015805.1	Primary Assembly	chromosome		NC_009073.1	5845	6618	-						4909029	PCAL_RS00050	774		old_locus_tag=Pcal_0010
CDS	with_protein	GCF_000015805.1	Primary Assembly	chromosome		NC_009073.1	5845	6618	-	WP_011848707.1	WP_011848707.1		circadian clock protein KaiC		4909029	PCAL_RS00050	774	257	
