# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000019805.1	Primary Assembly	chromosome		NC_010525.1	75	1244	+						6164376	TNEU_RS00005	1170		old_locus_tag=Tneu_0001
CDS	with_protein	GCF_000019805.1	Primary Assembly	chromosome		NC_010525.1	75	1244	+	WP_012349381.1	WP_012349381.1		ORC1-type DNA replication protein		6164376	TNEU_RS00005	1170	389	
gene	protein_coding	GCF_000019805.1	Primary Assembly	chromosome		NC_010525.1	1241	1519	+						6164648	TNEU_RS00010	279		old_locus_tag=Tneu_0002
CDS	with_protein	GCF_000019805.1	Primary Assembly	chromosome		NC_010525.1	1241	1519	+	WP_012349382.1	WP_012349382.1		winged helix-turn-helix domain-containing protein		6164648	TNEU_RS00010	279	92	
gene	protein_coding	GCF_000019805.1	Primary Assembly	chromosome		NC_010525.1	1555	2136	+						6164775	TNEU_RS00015	582		old_locus_tag=Tneu_0003
CDS	with_protein	GCF_000019805.1	Primary Assembly	chromosome		NC_010525.1	1555	2136	+	WP_012349383.1	WP_012349383.1		endonuclease NucS		6164775	TNEU_RS00015	582	193	
gene	protein_coding	GCF_000019805.1	Primary Assembly	chromosome		NC_010525.1	2121	2438	+						71811209	TNEU_RS10375	318		old_locus_tag=Tneu_0004
CDS	with_protein	GCF_000019805.1	Primary Assembly	chromosome		NC_010525.1	2121	2438	+	WP_245521962.1	WP_245521962.1		hypothetical protein		71811209	TNEU_RS10375	318	105	
gene	protein_coding	GCF_000019805.1	Primary Assembly	chromosome		NC_010525.1	2423	3520	+						6165853	TNEU_RS00025	1098		old_locus_tag=Tneu_0005
CDS	with_protein	GCF_000019805.1	Primary Assembly	chromosome		NC_010525.1	2423	3520	+	WP_012349385.1	WP_012349385.1		S-methyl-5-thioribose-1-phosphate isomerase		6165853	TNEU_RS00025	1098	365	
gene	protein_coding	GCF_000019805.1	Primary Assembly	chromosome		NC_010525.1	3629	3946	+						6164741	TNEU_RS00030	318		old_locus_tag=Tneu_0006
CDS	with_protein	GCF_000019805.1	Primary Assembly	chromosome		NC_010525.1	3629	3946	+	WP_012349386.1	WP_012349386.1		hypothetical protein		6164741	TNEU_RS00030	318	105	
gene	protein_coding	GCF_000019805.1	Primary Assembly	chromosome		NC_010525.1	3943	5070	+						6164654	TNEU_RS00035	1128		old_locus_tag=Tneu_0007
CDS	with_protein	GCF_000019805.1	Primary Assembly	chromosome		NC_010525.1	3943	5070	+	WP_012349387.1	WP_012349387.1		RsmB/NOP family class I SAM-dependent RNA methyltransferase		6164654	TNEU_RS00035	1128	375	
gene	protein_coding	GCF_000019805.1	Primary Assembly	chromosome		NC_010525.1	5057	5296	-						6166093	TNEU_RS00040	240		old_locus_tag=Tneu_0008
CDS	with_protein	GCF_000019805.1	Primary Assembly	chromosome		NC_010525.1	5057	5296	-	WP_012349388.1	WP_012349388.1		hypothetical protein		6166093	TNEU_RS00040	240	79	
gene	protein_coding	GCF_000019805.1	Primary Assembly	chromosome		NC_010525.1	5361	6023	+						6165019	TNEU_RS00045	663		old_locus_tag=Tneu_0009
CDS	with_protein	GCF_000019805.1	Primary Assembly	chromosome		NC_010525.1	5361	6023	+	WP_012349389.1	WP_012349389.1		TIGR00296 family protein		6165019	TNEU_RS00045	663	220	
gene	protein_coding	GCF_000019805.1	Primary Assembly	chromosome		NC_010525.1	5995	6462	-						6166287	TNEU_RS00050	468		old_locus_tag=Tneu_0010
CDS	with_protein	GCF_000019805.1	Primary Assembly	chromosome		NC_010525.1	5995	6462	-	WP_012349390.1	WP_012349390.1		hypothetical protein		6166287	TNEU_RS00050	468	155	
