# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	1	957	+						59369465	PAE_RS13190	957		old_locus_tag=PAE0001
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	1	957	+	WP_011006965.1	WP_011006965.1		tRNA (guanine-N1)-methyltransferase		59369465	PAE_RS13190	957	318	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	954	1427	-						1464708	PAE_RS00010	474		old_locus_tag=PAE0002
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	954	1427	-	WP_011006966.1	WP_011006966.1		PaREP1 family protein		1464708	PAE_RS00010	474	157	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	1471	2397	-						1464709	PAE_RS00015	927		old_locus_tag=PAE0005
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	1471	2397	-	WP_011006967.1	WP_011006967.1		dipeptidase		1464709	PAE_RS00015	927	308	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	2640	3797	+						1464710	PAE_RS00020	1158		old_locus_tag=PAE0007
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	2640	3797	+	WP_011006968.1	WP_011006968.1		AAA family ATPase		1464710	PAE_RS00020	1158	385	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	3769	4143	+						1464711	PAE_RS00025	375		old_locus_tag=PAE0008
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	3769	4143	+	WP_128621370.1	WP_128621370.1		hypothetical protein		1464711	PAE_RS00025	375	124	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	4316	4456	-						59369466	PAE_RS13195	141		old_locus_tag=PAE0009
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	4316	4456	-	WP_011006970.1	WP_011006970.1		hypothetical protein		59369466	PAE_RS13195	141	46	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	4483	5151	-						1464713	PAE_RS00030	669		old_locus_tag=PAE0010
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	4483	5151	-	WP_011006971.1	WP_011006971.1		7-carboxy-7-deazaguanine synthase QueE		1464713	PAE_RS00030	669	222	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	5152	5586	-						1464714	PAE_RS00035	435		old_locus_tag=PAE0012
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	5152	5586	-	WP_011006972.1	WP_011006972.1		hypothetical protein		1464714	PAE_RS00035	435	144	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	5759	6184	-						1464715	PAE_RS00040	426		old_locus_tag=PAE0013
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	5759	6184	-	WP_011006973.1	WP_011006973.1		PadR family transcriptional regulator		1464715	PAE_RS00040	426	141	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	6400	7134	-						1464716	PAE_RS00045	735		old_locus_tag=PAE0014
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	6400	7134	-	WP_011006974.1	WP_011006974.1		DUF4097 family beta strand repeat-containing protein		1464716	PAE_RS00045	735	244	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	7899	8318	+						1464719	PAE_RS00050	420		old_locus_tag=PAE0017
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	7899	8318	+	WP_226976144.1	WP_226976144.1		hypothetical protein		1464719	PAE_RS00050	420	139	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	8315	9208	-						1464720	PAE_RS00055	894		old_locus_tag=PAE0019
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	8315	9208	-	WP_011006978.1	WP_011006978.1		LysR family transcriptional regulator		1464720	PAE_RS00055	894	297	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	9243	10184	+						1464721	PAE_RS00060	942		old_locus_tag=PAE0020
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	9243	10184	+	WP_011006979.1	WP_011006979.1		substrate-binding domain-containing protein		1464721	PAE_RS00060	942	313	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	10171	10818	+						1464722	PAE_RS00065	648		old_locus_tag=PAE0022
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	10171	10818	+	WP_011006980.1	WP_011006980.1		ABC transporter permease		1464722	PAE_RS00065	648	215	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	10815	11417	+						1464723	PAE_RS00070	603		old_locus_tag=PAE0023
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	10815	11417	+	WP_011006981.1	WP_011006981.1		ABC transporter ATP-binding protein		1464723	PAE_RS00070	603	200	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	11425	12141	-						1464724	PAE_RS00075	717		old_locus_tag=PAE0025
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	11425	12141	-	WP_011006982.1	WP_011006982.1		SDR family NAD(P)-dependent oxidoreductase		1464724	PAE_RS00075	717	238	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	12175	12450	-						1464725	PAE_RS00080	276		old_locus_tag=PAE0026
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	12175	12450	-	WP_011006983.1	WP_011006983.1		hypothetical protein		1464725	PAE_RS00080	276	91	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	12553	13302	+						1464726	PAE_RS00085	750		old_locus_tag=PAE0028
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	12553	13302	+	WP_011006984.1	WP_011006984.1		DUF86 domain-containing protein		1464726	PAE_RS00085	750	249	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	13324	14655	+						1464727	PAE_RS00090	1332		old_locus_tag=PAE0030
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	13324	14655	+	WP_011006985.1	WP_011006985.1		ribonuclease E/G		1464727	PAE_RS00090	1332	443	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	14684	14884	+						1464728	PAE_RS00095	201		old_locus_tag=PAE0030a
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	14684	14884	+	WP_011006986.1	WP_011006986.1		hypothetical protein		1464728	PAE_RS00095	201	66	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	14898	15275	+						1464729	PAE_RS00100	378		old_locus_tag=PAE0033
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	14898	15275	+	WP_011006987.1	WP_011006987.1		type II toxin-antitoxin system VapC family toxin		1464729	PAE_RS00100	378	125	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	15265	16158	-						1464730	PAE_RS00105	894		old_locus_tag=PAE0034
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	15265	16158	-	WP_011006988.1	WP_011006988.1		homoserine kinase		1464730	PAE_RS00105	894	297	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	16115	16786	-						1464731	PAE_RS00110	672		old_locus_tag=PAE0036
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	16115	16786	-	WP_011006989.1	WP_011006989.1		cyclase family protein		1464731	PAE_RS00110	672	223	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	17081	18208	-						1464733	PAE_RS00115	1128		old_locus_tag=PAE0039
