# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	292	855	+						11595788	P186_RS00005	564		old_locus_tag=P186_0001
CDS	with_protein	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	292	855	+	WP_014287302.1	WP_014287302.1		hypothetical protein		11595788	P186_RS00005	564	187	
gene	protein_coding	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	860	1714	+						11596100	P186_RS00010	855		old_locus_tag=P186_0002
CDS	with_protein	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	860	1714	+	WP_014287303.1	WP_014287303.1		hypothetical protein		11596100	P186_RS00010	855	284	
gene	protein_coding	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	1711	15495	+						11596111	P186_RS00015	13785		old_locus_tag=P186_0003
CDS	with_protein	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	1711	15495	+	WP_014287304.1	WP_014287304.1		hypothetical protein		11596111	P186_RS00015	13785	4594	
gene	protein_coding	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	15533	18466	+					ileS	11596241	P186_RS00020	2934		old_locus_tag=P186_0004
CDS	with_protein	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	15533	18466	+	WP_014287305.1	WP_014287305.1		isoleucine--tRNA ligase	ileS	11596241	P186_RS00020	2934	977	
gene	protein_coding	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	18664	19821	+						11596583	P186_RS00025	1158		old_locus_tag=P186_0005
CDS	with_protein	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	18664	19821	+	WP_014287306.1	WP_014287306.1		glycosyltransferase family 39 protein		11596583	P186_RS00025	1158	385	
gene	protein_coding	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	19808	20182	-						11596610	P186_RS00030	375		old_locus_tag=P186_0006
CDS	with_protein	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	19808	20182	-	WP_014287307.1	WP_014287307.1		hypothetical protein		11596610	P186_RS00030	375	124	
gene	protein_coding	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	20229	20912	+						11596701	P186_RS00035	684		old_locus_tag=P186_0007
CDS	with_protein	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	20229	20912	+	WP_193383986.1	WP_193383986.1		serine/threonine protein kinase		11596701	P186_RS00035	684	227	
gene	protein_coding	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	20886	21404	-						11593933	P186_RS00040	519		old_locus_tag=P186_0008
CDS	with_protein	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	20886	21404	-	WP_014287309.1	WP_014287309.1		RNA-binding protein		11593933	P186_RS00040	519	172	
gene	protein_coding	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	21553	22305	+						11594319	P186_RS00045	753		old_locus_tag=P186_0009
CDS	with_protein	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	21553	22305	+	WP_014287310.1	WP_014287310.1		helix-turn-helix domain-containing protein		11594319	P186_RS00045	753	250	
gene	protein_coding	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	22302	23381	+						11594320	P186_RS00050	1080		old_locus_tag=P186_0010
CDS	with_protein	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	22302	23381	+	WP_014287311.1	WP_014287311.1		tRNA (guanine(26)-N(2))-dimethyltransferase		11594320	P186_RS00050	1080	359	
gene	protein_coding	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	23389	23898	+						11595817	P186_RS00055	510		old_locus_tag=P186_0011
CDS	with_protein	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	23389	23898	+	WP_014287312.1	WP_014287312.1		AAA family ATPase		11595817	P186_RS00055	510	169	
gene	protein_coding	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	23895	24326	+						41584032	P186_RS00060	432		
CDS	with_protein	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	23895	24326	+	WP_148682533.1	WP_148682533.1		hypothetical protein		41584032	P186_RS00060	432	143	
gene	protein_coding	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	24229	25005	-						11595818	P186_RS00065	777		old_locus_tag=P186_0012
CDS	with_protein	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	24229	25005	-	WP_014287313.1	WP_014287313.1		RNA methyltransferase		11595818	P186_RS00065	777	258	
gene	protein_coding	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	25005	26000	-						11595819	P186_RS00070	996		old_locus_tag=P186_0013
CDS	with_protein	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	25005	26000	-	WP_014287314.1	WP_014287314.1		DUF373 family protein		11595819	P186_RS00070	996	331	
gene	protein_coding	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	26000	26989	-						11595820	P186_RS00075	990		old_locus_tag=P186_0014
CDS	with_protein	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	26000	26989	-	WP_014287315.1	WP_014287315.1		coiled-coil protein		11595820	P186_RS00075	990	329	
gene	protein_coding	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	27094	27807	+						11595821	P186_RS00080	714		old_locus_tag=P186_0015
CDS	with_protein	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	27094	27807	+	WP_148682534.1	WP_148682534.1		helix-turn-helix domain-containing protein		11595821	P186_RS00080	714	237	
gene	protein_coding	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	27808	28281	-						11595822	P186_RS00085	474		old_locus_tag=P186_0016
CDS	with_protein	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	27808	28281	-	WP_014287317.1	WP_014287317.1		ribosomal protein L13e		11595822	P186_RS00085	474	157	
gene	protein_coding	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	28355	28666	+						11595823	P186_RS00090	312		old_locus_tag=P186_0017
CDS	with_protein	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	28355	28666	+	WP_014287318.1	WP_014287318.1		hypothetical protein		11595823	P186_RS00090	312	103	
gene	protein_coding	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	28986	29315	-						11595825	P186_RS00100	330		old_locus_tag=P186_0019
CDS	with_protein	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	28986	29315	-	WP_014287320.1	WP_014287320.1		hypothetical protein		11595825	P186_RS00100	330	109	
gene	protein_coding	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	29348	30349	-						11595826	P186_RS00105	1002		old_locus_tag=P186_0020
CDS	with_protein	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	29348	30349	-	WP_014287321.1	WP_014287321.1		transcription initiation factor IIB		11595826	P186_RS00105	1002	333	
gene	protein_coding	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	30425	31384	-						11595827	P186_RS00110	960		old_locus_tag=P186_0021
CDS	with_protein	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	30425	31384	-	WP_014287322.1	WP_014287322.1		replication factor C small subunit		11595827	P186_RS00110	960	319	
gene	protein_coding	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	31381	31821	-						11595828	P186_RS00115	441		old_locus_tag=P186_0022
CDS	with_protein	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	31381	31821	-	WP_014287323.1	WP_014287323.1		hypothetical protein		11595828	P186_RS00115	441	146	
gene	protein_coding	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	31847	33016	-						11595829	P186_RS00120	1170		old_locus_tag=P186_0023
CDS	with_protein	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	31847	33016	-	WP_014287324.1	WP_014287324.1		TGS domain-containing protein		11595829	P186_RS00120	1170	389	
gene	protein_coding	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	33041	33721	-						11595830	P186_RS00125	681		old_locus_tag=P186_0024
CDS	with_protein	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	33041	33721	-	WP_148682535.1	WP_148682535.1		enoyl-CoA hydratase/isomerase family protein		11595830	P186_RS00125	681	226	
gene	protein_coding	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	33767	35086	+						11595831	P186_RS00130	1320		old_locus_tag=P186_0025
CDS	with_protein	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	33767	35086	+	WP_014287326.1	WP_014287326.1		NADP-dependent isocitrate dehydrogenase		11595831	P186_RS00130	1320	439	
gene	protein_coding	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	35083	35556	-						11595832	P186_RS00135	474		old_locus_tag=P186_0026
CDS	with_protein	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	35083	35556	-	WP_014287327.1	WP_014287327.1		GNAT family N-acetyltransferase		11595832	P186_RS00135	474	157	
gene	protein_coding	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	35693	36559	-						11595833	P186_RS00140	867		old_locus_tag=P186_0027
CDS	with_protein	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	35693	36559	-	WP_014287328.1	WP_014287328.1		NMD3-related protein		11595833	P186_RS00140	867	288	
gene	protein_coding	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	36564	37514	-						11595834	P186_RS00145	951		old_locus_tag=P186_0028
CDS	with_protein	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	36564	37514	-	WP_014287329.1	WP_014287329.1		DNA cytosine methyltransferase		11595834	P186_RS00145	951	316	
gene	protein_coding	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	37561	38151	+						11595835	P186_RS00150	591		old_locus_tag=P186_0029
CDS	with_protein	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	37561	38151	+	WP_014287330.1	WP_014287330.1		hypothetical protein		11595835	P186_RS00150	591	196	
gene	protein_coding	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	38126	38434	-						11595836	P186_RS00155	309		old_locus_tag=P186_0030
CDS	with_protein	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	38126	38434	-	WP_014287331.1	WP_014287331.1		hypothetical protein		11595836	P186_RS00155	309	102	
gene	protein_coding	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	38481	40037	+					pheT	11595837	P186_RS00160	1557		old_locus_tag=P186_0031
CDS	with_protein	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	38481	40037	+	WP_014287332.1	WP_014287332.1		phenylalanine--tRNA ligase subunit beta	pheT	11595837	P186_RS00160	1557	518	
gene	protein_coding	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	40834	41487	+						11595839	P186_RS00165	654		old_locus_tag=P186_0033
CDS	with_protein	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	40834	41487	+	WP_148682536.1	WP_148682536.1		hypothetical protein		11595839	P186_RS00165	654	217	
gene	protein_coding	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	41851	42207	+						11595840	P186_RS00170	357		old_locus_tag=P186_0035
CDS	with_protein	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	41851	42207	+	WP_014287335.1	WP_014287335.1		hypothetical protein		11595840	P186_RS00170	357	118	
gene	protein_coding	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	42204	42431	-						11595841	P186_RS00175	228		old_locus_tag=P186_0036
CDS	with_protein	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	42204	42431	-	WP_014287336.1	WP_014287336.1		hypothetical protein		11595841	P186_RS00175	228	75	
gene	protein_coding	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	42631	42903	-						11595842	P186_RS00180	273		old_locus_tag=P186_0037
CDS	with_protein	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	42631	42903	-	WP_014287337.1	WP_014287337.1		hypothetical protein		11595842	P186_RS00180	273	90	
gene	protein_coding	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	42900	43316	-						11595843	P186_RS00185	417		old_locus_tag=P186_0038
CDS	with_protein	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	42900	43316	-	WP_014287338.1	WP_014287338.1		hypothetical protein		11595843	P186_RS00185	417	138	
gene	protein_coding	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	43313	43756	-						11595844	P186_RS00190	444		old_locus_tag=P186_0039
CDS	with_protein	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	43313	43756	-	WP_014287339.1	WP_014287339.1		archease		11595844	P186_RS00190	444	147	
gene	protein_coding	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	43804	44469	+						11595845	P186_RS00195	666		old_locus_tag=P186_0040
CDS	with_protein	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	43804	44469	+	WP_014287340.1	WP_014287340.1		orotidine 5'-phosphate decarboxylase		11595845	P186_RS00195	666	221	
gene	protein_coding	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	44466	45059	+						11595846	P186_RS00200	594		old_locus_tag=P186_0041
CDS	with_protein	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	44466	45059	+	WP_014287341.1	WP_014287341.1		adenylate kinase		11595846	P186_RS00200	594	197	
gene	protein_coding	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	45082	45636	+						11595847	P186_RS00205	555		old_locus_tag=P186_0042
CDS	with_protein	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	45082	45636	+	WP_148682537.1	WP_148682537.1		DJ-1/PfpI family protein		11595847	P186_RS00205	555	184	
gene	protein_coding	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	45623	46651	+						11595848	P186_RS00210	1029		old_locus_tag=P186_0043
CDS	with_protein	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	45623	46651	+	WP_014287343.1	WP_014287343.1		sn-glycerol-1-phosphate dehydrogenase		11595848	P186_RS00210	1029	342	
gene	protein_coding	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	46733	46933	-						70362827	P186_RS14145	201		
CDS	with_protein	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	46733	46933	-	WP_237179428.1	WP_237179428.1		hypothetical protein		70362827	P186_RS14145	201	66	
gene	protein_coding	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	47173	48477	+						11595850	P186_RS00220	1305		old_locus_tag=P186_0045
CDS	with_protein	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	47173	48477	+	WP_014287345.1	WP_014287345.1		NADP-dependent malic enzyme		11595850	P186_RS00220	1305	434	
gene	protein_coding	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	48482	49711	-						11595851	P186_RS00225	1230		old_locus_tag=P186_0046
CDS	with_protein	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	48482	49711	-	WP_014287346.1	WP_014287346.1		citrate synthase/methylcitrate synthase		11595851	P186_RS00225	1230	409	
gene	protein_coding	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	49843	51057	-						70362828	P186_RS14150	1215		old_locus_tag=P186_0047
CDS	with_protein	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	49843	51057	-	WP_014287347.1	WP_014287347.1		zinc ribbon domain-containing protein		70362828	P186_RS14150	1215	404	
gene	protein_coding	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	51054	51224	-						59388032	P186_RS13975	171		old_locus_tag=P186_0048
CDS	with_protein	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	51054	51224	-	WP_014287348.1	WP_014287348.1		hypothetical protein		59388032	P186_RS13975	171	56	
gene	protein_coding	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	51361	51924	-						11595854	P186_RS00235	564		old_locus_tag=P186_0049
CDS	with_protein	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	51361	51924	-	WP_014287349.1	WP_014287349.1		DUF4443 domain-containing protein		11595854	P186_RS00235	564	187	
gene	pseudogene	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	51980	53008	+						11595855	P186_RS00240	1029		partial;pseudo;old_locus_tag=P186_0050
CDS	without_protein	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	51980	53008	+				RuvB-like domain-containing protein		11595855	P186_RS00240	1029		partial;pseudo
gene	protein_coding	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	53024	53335	+						70362829	P186_RS14155	312		
CDS	with_protein	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	53024	53335	+	WP_237179485.1	WP_237179485.1		hypothetical protein		70362829	P186_RS14155	312	103	
gene	protein_coding	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	53347	53859	-						11595856	P186_RS00245	513		old_locus_tag=P186_0051
CDS	with_protein	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	53347	53859	-	WP_014287351.1	WP_014287351.1		hypothetical protein		11595856	P186_RS00245	513	170	
gene	protein_coding	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	53856	55364	-						11595857	P186_RS00250	1509		old_locus_tag=P186_0052
CDS	with_protein	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	53856	55364	-	WP_014287352.1	WP_014287352.1		site-2 protease family protein		11595857	P186_RS00250	1509	502	
gene	protein_coding	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	55392	55964	-						11595858	P186_RS00255	573		old_locus_tag=P186_0053
CDS	with_protein	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	55392	55964	-	WP_148682539.1	WP_148682539.1		hypothetical protein		11595858	P186_RS00255	573	190	
gene	protein_coding	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	56012	56698	+						11595859	P186_RS00260	687		old_locus_tag=P186_0054
CDS	with_protein	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	56012	56698	+	WP_014287354.1	WP_014287354.1		DUF2208 family protein		11595859	P186_RS00260	687	228	
gene	protein_coding	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	56687	57016	-					rpl12p	11595860	P186_RS00265	330		old_locus_tag=P186_0055
CDS	with_protein	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	56687	57016	-	WP_014287355.1	WP_014287355.1		50S ribosomal protein P1	rpl12p	11595860	P186_RS00265	330	109	
gene	protein_coding	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	57058	57261	-						11595861	P186_RS00270	204		old_locus_tag=P186_0056
CDS	with_protein	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	57058	57261	-	WP_014287356.1	WP_014287356.1		hypothetical protein		11595861	P186_RS00270	204	67	
gene	protein_coding	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	57413	57940	-						11595862	P186_RS00275	528		old_locus_tag=P186_0057
CDS	with_protein	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	57413	57940	-	WP_014287357.1	WP_014287357.1		ATP:cob(I)alamin adenosyltransferase		11595862	P186_RS00275	528	175	
gene	protein_coding	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	58066	58992	+					prpB	11595863	P186_RS00280	927		old_locus_tag=P186_0058
CDS	with_protein	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	58066	58992	+	WP_148682540.1	WP_148682540.1		methylisocitrate lyase	prpB	11595863	P186_RS00280	927	308	
gene	protein_coding	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	58985	60346	+						11595864	P186_RS00285	1362		old_locus_tag=P186_0059
CDS	with_protein	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	58985	60346	+	WP_014287359.1	WP_014287359.1		MmgE/PrpD family protein		11595864	P186_RS00285	1362	453	
gene	protein_coding	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	60347	61312	-						11595865	P186_RS00290	966		old_locus_tag=P186_0060
CDS	with_protein	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	60347	61312	-	WP_014287360.1	WP_014287360.1		FAD-dependent oxidoreductase		11595865	P186_RS00290	966	321	
gene	protein_coding	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	61389	61865	+						11595866	P186_RS00295	477		old_locus_tag=P186_0061
CDS	with_protein	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	61389	61865	+	WP_148682541.1	WP_148682541.1		30S ribosomal protein S19		11595866	P186_RS00295	477	158	
gene	protein_coding	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	61867	62307	+						11595867	P186_RS00300	441		old_locus_tag=P186_0062
CDS	with_protein	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	61867	62307	+	WP_014287362.1	WP_014287362.1		30S ribosomal protein S17		11595867	P186_RS00300	441	146	
gene	protein_coding	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	62409	64622	+						11595868	P186_RS00305	2214		old_locus_tag=P186_0063
CDS	with_protein	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	62409	64622	+	WP_014287363.1	WP_014287363.1		hypothetical protein		11595868	P186_RS00305	2214	737	
gene	protein_coding	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	64592	65131	+						11595869	P186_RS00310	540		old_locus_tag=P186_0064
CDS	with_protein	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	64592	65131	+	WP_237179429.1	WP_237179429.1		hypothetical protein		11595869	P186_RS00310	540	179	
gene	protein_coding	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	65158	65811	+						11595870	P186_RS00315	654		old_locus_tag=P186_0065
CDS	with_protein	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	65158	65811	+	WP_014287365.1	WP_014287365.1		hypothetical protein		11595870	P186_RS00315	654	217	
gene	protein_coding	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	65808	66881	-						11595871	P186_RS00320	1074		old_locus_tag=P186_0066
CDS	with_protein	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	65808	66881	-	WP_148682542.1	WP_148682542.1		family 1 glycosylhydrolase		11595871	P186_RS00320	1074	357	
gene	protein_coding	GCF_000234805.1	Primary Assembly	chromosome		NC_016645.1	67140	68855	+						11595873	P186_RS00325	1716		old_locus_tag=P186_0068
